age,fare,pclass,survived
29,211.34,1,yes
1,151.55,1,yes
2,151.55,1,no
30,151.55,1,no
25,151.55,1,no
48,26.55,1,yes
63,77.96,1,yes
39,0,1,no
53,51.48,1,yes
71,49.5,1,no
47,227.53,1,no
18,227.53,1,yes
24,69.3,1,yes
26,78.85,1,yes
80,30,1,yes
,25.93,1,no
24,247.52,1,no
50,247.52,1,yes
32,76.29,1,yes
36,75.24,1,no
37,52.55,1,yes
47,52.55,1,yes
26,30,1,yes
42,227.53,1,yes
29,221.78,1,yes
25,26,1,no
25,91.08,1,yes
19,91.08,1,yes
35,135.63,1,yes
28,26.55,1,yes
45,35.5,1,no
40,31,1,yes
30,164.87,1,yes
58,26.55,1,yes
42,26.55,1,no
45,262.38,1,yes
22,55,1,yes
,26.55,1,yes
41,30.5,1,no
48,50.5,1,no
,39.6,1,no
44,27.72,1,yes
59,51.48,1,yes
60,76.29,1,yes
41,134.5,1,yes
45,26.55,1,no
,31,1,no
42,26.29,1,yes
53,27.45,1,yes
36,512.33,1,yes
58,512.33,1,yes
33,5,1,no
28,47.1,1,no
17,47.1,1,no
11,120,1,yes
14,120,1,yes
36,120,1,yes
36,120,1,yes
49,26,1,no
,27.72,1,yes
36,78.85,1,no
76,78.85,1,yes
46,61.18,1,no
47,61.18,1,yes
27,53.1,1,yes
33,53.1,1,yes
36,262.38,1,yes
30,86.5,1,yes
45,29.7,1,yes
,55,1,yes
,0,1,no
27,136.78,1,no
26,136.78,1,yes
22,151.55,1,yes
,52,1,no
47,25.59,1,no
39,83.16,1,yes
37,83.16,1,no
64,83.16,1,yes
55,25.7,1,yes
,26.55,1,no
70,71,1,no
36,71,1,yes
64,26.55,1,yes
39,71.28,1,no
38,71.28,1,yes
51,26.55,1,yes
27,30.5,1,yes
33,151.55,1,yes
31,52,1,no
27,52,1,yes
31,57,1,yes
17,57,1,yes
53,81.86,1,yes
4,81.86,1,yes
54,81.86,1,yes
50,106.43,1,no
27,247.52,1,yes
48,106.43,1,yes
48,39.6,1,yes
49,56.93,1,yes
39,29.7,1,no
23,83.16,1,yes
38,227.53,1,yes
54,78.27,1,yes
36,31.68,1,no
,221.78,1,no
,31.68,1,yes
,110.88,1,yes
36,26.39,1,yes
30,27.75,1,no
24,263,1,yes
28,263,1,yes
23,263,1,yes
19,263,1,no
64,263,1,no
60,263,1,yes
30,56.93,1,yes
,26.55,1,no
50,133.65,1,yes
43,27.72,1,yes
,133.65,1,yes
22,49.5,1,yes
60,79.2,1,yes
48,79.2,1,yes
,0,1,no
37,53.1,1,no
35,53.1,1,yes
47,38.5,1,no
35,211.5,1,yes
22,59.4,1,yes
45,59.4,1,yes
24,79.2,1,no
49,89.1,1,yes
,89.1,1,yes
71,34.65,1,no
53,28.5,1,yes
19,30,1,yes
38,153.46,1,no
58,153.46,1,yes
23,63.36,1,yes
45,63.36,1,yes
46,79.2,1,no
25,55.44,1,yes
25,55.44,1,yes
48,76.73,1,yes
49,76.73,1,yes
,42.4,1,no
45,83.48,1,no
35,83.48,1,yes
40,0,1,no
27,76.73,1,yes
,30,1,yes
24,83.16,1,yes
55,93.5,1,no
52,93.5,1,yes
42,42.5,1,no
,51.86,1,no
55,50,1,no
16,57.98,1,yes
44,57.98,1,yes
51,77.96,1,yes
42,52,1,no
35,52,1,yes
35,26.55,1,yes
38,90,1,yes
,30.7,1,no
35,90,1,yes
38,80,1,yes
50,28.71,1,no
49,0,1,yes
46,26,1,no
50,26,1,no
33,211.5,1,no
58,29.7,1,no
41,51.86,1,no
,51.86,1,yes
42,52.55,1,yes
45,52.55,1,yes
,26.55,1,no
39,211.34,1,yes
49,25.93,1,yes
30,106.43,1,yes
35,512.33,1,yes
,27.72,1,no
42,26.55,1,no
55,27.72,1,yes
16,39.4,1,yes
51,39.4,1,yes
29,30,1,no
21,77.96,1,yes
30,45.5,1,no
58,146.52,1,yes
15,211.34,1,yes
30,26,1,no
16,86.5,1,yes
,29.7,1,yes
19,53.1,1,no
18,53.1,1,yes
24,49.5,1,yes
46,75.24,1,no
54,51.86,1,no
36,26.29,1,yes
28,82.17,1,no
,82.17,1,yes
65,26.55,1,no
44,90,1,no
33,90,1,yes
37,90,1,yes
30,57.75,1,yes
55,30.5,1,no
47,42.4,1,no
37,29.7,1,no
31,113.28,1,yes
23,113.28,1,yes
58,113.28,1,no
19,26.28,1,yes
64,26,1,no
39,108.9,1,yes
,25.74,1,yes
22,61.98,1,yes
65,61.98,1,no
29,27.72,1,no
,0,1,no
46,28.5,1,no
23,93.5,1,no
29,66.6,1,no
22,66.6,1,yes
18,108.9,1,no
17,108.9,1,yes
30,93.5,1,yes
52,30.5,1,yes
47,52,1,no
56,83.16,1,yes
38,0,1,no
,39.6,1,yes
22,135.63,1,no
,227.53,1,no
43,211.34,1,yes
31,50.5,1,no
45,26.55,1,yes
,50,1,no
33,27.72,1,yes
46,79.2,1,no
36,40.13,1,no
33,86.5,1,yes
55,59.4,1,no
54,59.4,1,yes
33,26.55,1,no
13,262.38,1,yes
18,262.38,1,yes
21,262.38,1,yes
61,262.38,1,no
48,262.38,1,yes
,30.5,1,yes
24,69.3,1,yes
,26,1,yes
35,57.75,1,yes
30,31,1,yes
34,26.55,1,yes
40,153.46,1,yes
35,26.29,1,yes
50,55.9,1,no
39,55.9,1,yes
56,35.5,1,yes
28,35.5,1,yes
56,26.55,1,no
56,30.7,1,no
24,60,1,no
,26,1,no
18,60,1,yes
24,82.27,1,yes
23,82.27,1,yes
6,134.5,1,yes
45,134.5,1,yes
40,134.5,1,yes
57,146.52,1,no
,146.52,1,yes
32,30.5,1,yes
62,26.55,1,no
54,55.44,1,yes
43,55.44,1,yes
52,78.27,1,yes
,27.72,1,no
62,80,1,yes
67,221.78,1,no
63,221.78,1,no
61,32.32,1,no
48,25.93,1,yes
18,79.65,1,yes
52,79.65,1,no
39,79.65,1,yes
48,52,1,yes
,52,1,yes
49,110.88,1,no
17,110.88,1,yes
39,110.88,1,yes
,79.2,1,yes
31,28.54,1,yes
40,27.72,1,no
61,33.5,1,no
47,34.02,1,no
35,512.33,1,yes
64,75.25,1,no
60,75.25,1,yes
60,26.55,1,no
54,77.29,1,no
21,77.29,1,no
55,135.63,1,yes
31,164.87,1,yes
57,164.87,1,no
45,164.87,1,yes
50,211.5,1,no
27,211.5,1,no
50,211.5,1,yes
21,26.55,1,yes
51,61.38,1,no
21,61.38,1,yes
,35,1,no
31,134.5,1,yes
,35.5,1,yes
62,26.55,1,no
36,135.63,1,yes
30,24,2,no
28,24,2,yes
30,13,2,no
18,11.5,2,no
25,10.5,2,no
34,26,2,no
36,26,2,yes
57,13,2,no
18,11.5,2,no
