Country,Region,Happiness,Economy
Afghanistan,Southern Asia,3.575,0.31982
Albania,Central and Eastern Europe,4.959,0.87867
Algeria,Middle East and Northern Africa,5.605,0.93929
Angola,Sub-Saharan Africa,4.033,0.75778
Argentina,Latin America and Caribbean,6.574,1.05351
Armenia,Central and Eastern Europe,4.35,0.76821
Australia,Australia and New Zealand,7.284,1.33358
Austria,Western Europe,7.2,1.33723
Azerbaijan,Central and Eastern Europe,5.212,1.02389
Bahrain,Middle East and Northern Africa,5.96,1.32376
Bangladesh,Southern Asia,4.694,0.39753
Belarus,Central and Eastern Europe,5.813,1.03192
Belgium,Western Europe,6.937,1.30782
Benin,Sub-Saharan Africa,3.34,0.28665
Bhutan,Southern Asia,5.253,0.77042
Bolivia,Latin America and Caribbean,5.89,0.68133
Bosnia and Herzegovina,Central and Eastern Europe,4.949,0.83223
Botswana,Sub-Saharan Africa,4.332,0.99355
Brazil,Latin America and Caribbean,6.983,0.98124
Bulgaria,Central and Eastern Europe,4.218,1.01216
Burkina Faso,Sub-Saharan Africa,3.587,0.25812
Burundi,Sub-Saharan Africa,2.905,0.0153
Cambodia,Southeastern Asia,3.819,0.46038
Cameroon,Sub-Saharan Africa,4.252,0.4225
Canada,North America,7.427,1.32629
Central African Republic,Sub-Saharan Africa,3.678,0.0785
Chad,Sub-Saharan Africa,3.667,0.34193
Chile,Latin America and Caribbean,6.67,1.10715
China,Eastern Asia,5.14,0.89012
Colombia,Latin America and Caribbean,6.477,0.91861
Comoros,Sub-Saharan Africa,3.956,0.23906
Congo (Brazzaville),Sub-Saharan Africa,3.989,0.67866
Congo (Kinshasa),Sub-Saharan Africa,4.517,0
Costa Rica,Latin America and Caribbean,7.226,0.95578
Croatia,Central and Eastern Europe,5.759,1.08254
Cyprus,Western Europe,5.689,1.20813
Czech Republic,Central and Eastern Europe,6.505,1.17898
Denmark,Western Europe,7.527,1.32548
Djibouti,Sub-Saharan Africa,4.369,0.44025
Dominican Republic,Latin America and Caribbean,4.885,0.89537
Ecuador,Latin America and Caribbean,5.975,0.86402
