Year,Month,Day,Quarter,Games Played
1996,9,7,3,0
1997,6,26,2,0
1996,7,22,3,5
1997,10,1,4,4
1998,4,1,2,0
1996,9,9,3,7
1998,1,13,1,0
1996,3,18,1,8
1996,1,5,1,4
1996,8,13,3,6
1996,5,13,2,13
1996,8,10,3,12
1997,4,16,2,7
1998,2,11,1,4
1997,11,14,4,0
1998,3,11,1,0
1997,3,30,1,0
1997,1,25,1,1
1998,3,10,1,0
1998,4,28,2,0
1997,2,10,1,0
1998,1,28,1,0
1996,5,7,2,4
1996,1,18,1,2
1997,6,2,2,0
1996,5,24,2,9
1997,4,14,2,2
1997,4,2,2,7
1997,4,18,2,8
1997,2,17,1,1
1997,10,17,4,7
1996,8,24,3,4
1996,5,19,2,1
1996,7,23,3,0
1996,3,12,1,6
1996,2,11,1,6
1997,10,22,4,2
1997,3,17,1,7
1997,3,22,1,3
1997,2,8,1,0
1996,2,26,1,1
1997,2,21,1,0
1996,7,15,3,0
1996,7,20,3,1
1997,2,21,1,0
1997,7,23,3,0
1999,8,27,3,9
1997,10,8,4,10
1996,4,25,2,11
1996,2,12,1,5
1996,1,19,1,14
1996,3,11,1,5
1997,5,27,2,0
1997,4,8,2,0
1997,7,25,3,4
1998,4,3,2,6
1997,2,12,1,0
1997,2,1,1,1
1997,2,14,1,0
1997,4,17,2,0
1997,4,4,2,0
1998,4,10,2,5
1996,9,26,3,13
1996,5,11,2,4
1996,3,29,1,15
1997,9,24,3,5
1996,6,12,2,0
1997,2,8,1,0
1998,1,11,1,0
1997,5,17,2,0
1997,10,15,4,0
1997,4,20,2,0
1997,5,7,2,0
1996,3,28,1,9
1998,3,18,1,1
1996,7,27,3,0
1996,8,23,3,11
1997,11,15,4,14
1997,11,30,4,13
1998,10,28,4,3
1996,11,2,4,3
1997,9,10,3,0
1998,2,3,1,0
1998,2,12,1,0
1996,3,27,1,5
1996,1,16,1,3
1997,7,8,3,0
1998,9,15,3,3
1998,3,31,1,0
1996,11,12,4,6
1997,3,31,1,5
1997,6,9,2,6
1997,8,1,3,5
1998,5,20,2,1
1998,3,11,1,0
1998,6,25,2,1
1998,3,4,1,0
1998,2,13,1,0
