Minute,Protocol,Duration,sPackets,rPackets,Type
0,ARP,0.000003,3,0,Normal
0,LLDP,0.000001,1,0,Normal
0,IPV4-TCP,0.47865,40,30,Normal
0,IPV4-TCP,0.499777,16,22,Normal
0,IPV4-TCP,0.499604,10,20,Normal
0,IPV4-2,0.002299,4,0,Normal
0,ARP,0.000283,1,1,Normal
0,ARP,0.000006,3,0,Normal
0,IPV4-TCP,0.480179,32,24,Normal
0,IPV4-TCP,0.499622,16,32,Normal
0,IPV4-TCP,0.499963,12,20,Normal
0,IPV4-TCP,0.404272,40,26,Normal
0,IPV4-TCP,0.007484,14,28,Normal
0,IPV4-TCP,0.045594,6,14,Normal
0,ARP,0.000005,3,0,Normal
0,IPV4-TCP,0.479756,38,30,Normal
0,IPV4-TCP,0.475867,32,52,Normal
0,IPV4-TCP,0.469375,20,40,Normal
0,IPV4-TCP,0.479638,32,24,Normal
0,ARP,0.000005,3,0,Normal
0,IPV4-TCP,0.048689,16,20,Normal
0,IPV4-TCP,0.047797,10,20,Normal
0,IPV4-TCP,0.403293,40,26,Normal
0,IPV4-TCP,0.008465,16,32,Normal
0,IPV4-TCP,0.005056,10,20,Normal
0,IPV4-TCP,0.480094,42,30,Normal
0,IPV4-TCP,0.499914,16,34,Normal
0,IPV4-TCP,0.005102,10,20,Normal
0,IPV4-TCP,0.479304,38,30,Normal
0,IPV4-TCP,0.499874,18,22,Normal
0,IPV4-TCP,0.499739,10,22,Normal
0,IPV4-TCP,0.479914,32,24,Normal
0,IPV4-TCP,0.499938,16,32,Normal
0,IPV4-TCP,0.499892,12,20,Normal
0,IPV4-TCP,0.403299,40,26,Normal
0,IPV4-TCP,0.499784,16,22,Normal
0,IPV4-TCP,0.499786,10,20,Normal
0,IPV4-2,0.000001,1,0,Normal
0,IPV4-TCP,0.478894,42,30,Normal
0,IPV4-TCP,0.499464,16,32,Normal
0,IPV4-TCP,0.499841,10,22,Normal
0,IPV4-TCP,0.478811,42,30,Normal
0,IPV4-TCP,0.499768,18,20,Normal
0,IPV4-TCP,0.49973,10,22,Normal
0,IPV4-TCP,0.479541,42,30,Normal
0,IPV4-TCP,0.006178,12,26,Normal
0,IPV4-TCP,0.003219,8,14,Normal
0,ARP,0.000005,3,0,Normal
0,IPV4-TCP,0.476004,32,62,Normal
0,IPV4-TCP,0.470123,20,34,Normal
0,IPV4-TCP,0.478804,40,30,Normal
0,IPV4-UDP,0.000005,3,0,Normal
0,IPV4-2,0.000001,1,0,Normal
0,ARP,0.000005,3,0,Normal
0,IPV4-TCP,0.4799,40,30,Normal
